site_id,id,bearing,sv1,sv2,sv3,sv4
6,4432,257.0,(0.456855486697-8.32667268469e-17j),(0.411117976587-0.399624403391j),(-0.16494571755+0.513822352324j),(-0.401070972023+0.102405984838j)
6,4433,258.0,(0.459430088715+2.77555756156e-17j),(0.386101142338-0.416627825947j),(-0.129729769945+0.521577539694j),(-0.406904673085+0.108751092013j)
6,4434,259.0,(0.462332440717-2.77555756156e-17j),(0.360140944633-0.432220710506j),(-0.0946229274611+0.526548037499j),(-0.41267190364+0.11501320542j)
6,4435,260.0,(0.465555335192+0j),(0.333716445221-0.446052031888j),(-0.0601308186836+0.528780348587j),(-0.418419170733+0.120955256471j)
6,4436,261.0,(0.469085448076-8.32667268469e-17j),(0.306636586663-0.458355720865j),(-0.0261920805886+0.528437105668j),(-0.424075487939+0.126771684814j)
6,4437,262.0,(0.472909748991+0j),(0.279165131886-0.469006632388j),(0.00681114581911+0.525631708324j),(-0.429673261202+0.132294298174j)
6,4438,263.0,(0.477011308017-5.55111512313e-17j),(0.251413093057-0.47801551458j),(0.0387039506927+0.520524610503j),(-0.435228682864+0.137422575143j)
6,4439,264.0,(0.481371470247+2.77555756156e-17j),(0.223487271552-0.48540084562j),(0.0692406742533+0.513298025464j),(-0.440739404928+0.142128847124j)
6,4440,265.0,(0.48597138886+2.77555756156e-17j),(0.195404715813-0.491224473023j),(0.0984678672745+0.50411043851j),(-0.446175085347+0.146464539961j)
6,4441,266.0,(0.490788766271+0j),(0.167519013276-0.495420086045j),(0.126011257598+0.493194985965j),(-0.451609263289+0.15017205974j)
6,4442,267.0,(0.495802363061+6.93889390391e-17j),(0.139577652429-0.498155700237j),(0.151959601333+0.480712907166j),(-0.456987114574+0.153379110724j)
6,4443,268.0,(0.500988430058+6.93889390391e-17j),(0.111922232594-0.49939317905j),(0.176325714331+0.466816966547j),(-0.462277910436+0.156143380422j)
6,4444,269.0,(0.506322318681-5.55111512313e-17j),(0.0845451907096-0.499213782985j),(0.19889300152+0.451751351467j),(-0.467585712072+0.158118030193j)
6,4445,270.0,(0.511781333609-8.32667268469e-17j),(0.0575148166401-0.497676052186j),(0.219714140636+0.435668817029j),(-0.472851066123+0.159438725085j)
6,4446,271.0,(0.517340335501-5.55111512313e-17j),(0.0308912284224-0.494839080129j),(0.238629945294+0.418829468522j),(-0.478096770556+0.160000304803j)
6,4447,272.0,(0.52297579434-7.6327832943e-17j),(0.00464456832889-0.490766788895j),(0.256010342424+0.401199799087j),(-0.483228939279+0.160031007826j)
6,4448,273.0,(0.52866292272+4.16333634234e-17j),(-0.020924803736-0.485520693049j),(0.271578609879+0.383104590036j),(-0.488350156964+0.159177194641j)
6,4449,274.0,(0.534378649905-8.32667268469e-17j),(-0.0461186575555-0.479157136849j),(0.285503954142+0.364608453564j),(-0.493391517494+0.157587894145j)
6,4450,275.0,(0.540099412645+2.77555756156e-17j),(-0.0706530696815-0.471749861389j),(0.297819634021+0.345850308859j),(-0.498339425892+0.155247165965j)
6,4451,276.0,(0.545802521142+9.19403442268e-17j),(-0.0945886694705-0.463353660068j),(0.308571584753+0.326962489904j),(-0.503204436484+0.152053870738j)
6,4452,277.0,(0.551467100678+4.33680868994e-17j),(-0.11790765576-0.454025266158j),(0.317815321584+0.308065741211j),(-0.507940086555+0.148083315072j)
6,4453,278.0,(0.557071881324-2.51534904017e-17j),(-0.140597806418-0.443817560441j),(0.32566619907+0.289216706447j),(-0.512525562017+0.143324529259j)
6,4454,279.0,(0.562597762697+2.42861286637e-17j),(-0.162499912132-0.432833760578j),(0.332186333558+0.270515022266j),(-0.51693829289+0.137772041937j)
6,4455,280.0,(0.568025384528+3.46944695195e-18j),(-0.183915743689-0.421011883016j),(0.337488138635+0.251992002399j),(-0.521131090428+0.131511709412j)
6,4456,281.0,(0.573339039713+4.85722573274e-17j),(-0.204473996405-0.408542923717j),(0.341556135885+0.233846779686j),(-0.525123832384+0.124360203236j)
6,4457,282.0,(0.578520931589-8.32667268469e-17j),(-0.224400571813-0.39537394501j),(0.34459168131+0.215973411785j),(-0.528845105862+0.116500091288j)
6,4458,283.0,(0.583557032489-7.6327832943e-17j),(-0.243563224305-0.381614305126j),(0.346624702511+0.198494177712j),(-0.532268466817+0.107936666511j)
6,4459,284.0,(0.588434338078-9.71445146547e-17j),(-0.262038133993-0.367258399293j),(0.347732511405+0.181462101266j),(-0.535385055976+0.0985837836883j)
6,4460,285.0,(0.593141522021-1.17961196366e-16j),(-0.279769822974-0.352377183616j),(0.347994227901+0.164923818994j),(-0.538147301429+0.0885434058298j)
6,4461,286.0,(0.597669290053-5.55111512313e-17j),(-0.296768381126-0.336999379695j),(0.347490129609+0.148916837328j),(-0.540526283677+0.0778272947965j)
6,4462,287.0,(0.602007847643-4.16333634234e-17j),(-0.3129318736-0.321258079404j),(0.346323860031+0.133409913079j),(-0.542482118688+0.0665444982529j)
6,4463,288.0,(0.60615073467+5.55111512313e-17j),(-0.328494061323-0.304958915243j),(0.344568989981+0.118426209128j),(-0.543991616271+0.0547134728477j)
6,4464,289.0,(0.610093055126-2.77555756156e-17j),(-0.343139873442-0.288461745022j),(0.342276438623+0.104040740758j),(-0.545046763961+0.0421628025921j)
6,4465,290.0,(0.613830925544+1.11022302463e-16j),(-0.357091724808-0.271560487411j),(0.339525031233+0.0902614759972j),(-0.545596057317+0.0291985950695j)
6,4466,291.0,(0.617362285232+9.71445146547e-17j),(-0.370301677333-0.254332508857j),(0.336399263092+0.0770304905098j),(-0.545627402426+0.015748921263j)
6,4467,292.0,(0.620686009244+1.11022302463e-16j),(-0.382772481901-0.236795109734j),(0.332965256129+0.0643451833427j),(-0.545116751443+0.00193492174316j)
6,4468,293.0,(0.623802755901+1.38777878078e-17j),(-0.394465515893-0.219035798221j),(0.329261449367+0.0523122047347j),(-0.544048796774-0.012314037694j)
6,4469,294.0,(0.62671543528-2.77555756156e-17j),(-0.405352059093-0.201149542648j),(0.32535647696+0.0409149167485j),(-0.542404978491-0.0268757262186j)
6,4470,295.0,(0.629425582156+6.93889390391e-17j),(-0.415541854454-0.182948552134j),(0.321317452187+0.0300767466604j),(-0.540181283615-0.0416280681588j)
6,4471,296.0,(0.6319388863-8.32667268469e-17j),(-0.424935477054-0.164669982783j),(0.317190034296+0.0198311727115j),(-0.537350686796-0.0567303025257j)
6,4472,297.0,(0.63425943996+1.11022302463e-16j),(-0.433572076535-0.146269147264j),(0.313022294047+0.0102067872256j),(-0.533918699521-0.0719669441853j)
6,4473,298.0,(0.636393738336-2.77555756156e-17j),(-0.441454666527-0.127771750041j),(0.308863778272+0.00117260873719j),(-0.529865893739-0.0874019062252j)
6,4474,299.0,(0.638348062035+1.2490009027e-16j),(-0.448608557685-0.109128376385j),(0.304755543631-0.00730132205773j),(-0.525215846477-0.1028210828j)
